BIN-ID	COUNTS	RECURSIVE-COUNTS
11.10.1001	0	0
11.10.1002	0	0
11.1001	0	0
11.1002	0	0
11.1003	0	0
11.1004	0	0
11.1005	0	0
11.1006	0	0
11.1007	0	0
11.1008	0	0
11.1009	0	0
11.1010	0	0
11.1011	0	0
11.1012	0	0
11.1013	0	0
11.1014	0	0
11.1015	0	0
11.1016	0	0
11.1017	0	0
11.1018	0	0
11.1019	0	0
11.1020	0	0
11.1021	0	0
11.1022	0	0
11.1023	0	0
11.1024	0	0
11.1025	0	0
11.1026	0	0
11.1027	0	0
11.1028	0	0
11.1029	0	0
11.1030	0	0
11.1031	0	0
11.1032	0	0
11.1033	0	0
11.1034	0	0
11.1035	0	0
11.1036	0	0
11.1037	0	0
11.1038	0	0
11.1039	0	0
11.1040	0	0
11.1041	0	0
12	0	55
12.1	0	13
12.1.1	11	11
12.1.2	2	2
12.2	0	19
12.2.1	1	1
12.2.1.1	0	0
12.2.1.2	0	0
12.2.2	17	17
12.2.99	1	1
12.2.1001	0	0
12.2.1002	0	0
12.2.1003	0	0
12.3	0	8
12.3.1	8	8
12.4	15	15
13	11	553
13.1	0	313
13.1.1	0	27
13.1.1.1	0	9
13.1.1.1.1	9	9
13.1.1.1.2	0	0
13.1.1.1.3	0	0
13.1.1.2	0	10
13.1.1.2.1	10	10
13.1.1.2.1001	0	0
13.1.1.3	0	8
13.1.1.3.1	4	4
13.1.1.3.11	4	4
13.1.1.3.10001	0	0
13.1.2	0	27
13.1.2.1	0	0
13.1.2.2	8	8
13.1.2.2.1	0	0
13.1.2.2.2	0	0
13.1.2.2.3	0	0
13.1.2.2.4	0	0
13.1.2.2.10	0	0
13.1.2.2.1001	0	0
13.1.2.3	2	19
13.1.2.3.1	0	0
13.1.2.3.2	5	5
13.1.2.3.3	0	0
13.1.2.3.4	0	0
13.1.2.3.5	0	0
13.1.2.3.11	0	0
13.1.2.3.21	6	6
13.1.2.3.22	1	1
13.1.2.3.23	2	2
13.1.2.3.31	3	3
13.1.2.3.32	0	0
13.1.2.3.1001	0	0
13.1.2.3.1002	0	0
13.1.2.3.1003	0	0
13.1.2.3.1004	0	0
